Brand, Product_Name, Original_Price, Current_Price, Shipping
MSI,MSI Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Video Card RTX 3070 Ti Gaming X Trio 8G,$1249.99 (2 Offers)–,$1249.99 (2 Offers)–,Free Shipping
GIGABYTE,GIGABYTE Gaming GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 x16 ATX Video Card GV-N3070GAMING OC-8GD (REV 2.0),$1299.99 –,$1299.99 –,Free Shipping
Barco,Barco MXRT-7500 Quad Head PCIe Display Controller Medical Video Graphics Card K9306037 MXRT 7500,$504.00 –,$504.00 –,Free Shipping
N/A,COLORFUL iGame GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card RTX 3060 Ti Advanced OC LHR,$949.99 –,$949.99 –,Free Shipping
MSI,MSI Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card RTX 3070 Ti Gaming X Trio 8G,$1321.05 (2 Offers)–,$1321.05 (2 Offers)–,$49.99 Shipping
GIGABYTE,GIGABYTE Vision GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3070VISION OC-8GD (rev. 2.0),$1099.99 (2 Offers)–,$1099.99 (2 Offers)–,$49.99 Shipping
ASUS,ASUS ROG Strix GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card ROG-STRIX-RTX3070-O8G-V2-GAMING,$1149.23 (4 Offers)–,$1149.23 (4 Offers)–,$49.99 Shipping
GIGABYTE,GIGABYTE Vision GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 ATX Video Card GV-N306TVISION OC-8GD (REV 2.0),$965.24 (3 Offers)–,$965.24 (3 Offers)–,$45.00 Shipping
GIGABYTE,GIGABYTE RTX 3060 Gaming OC D6 12GB (Jch),$960.00 –,$960.00 –,$3.00 Shipping
GIGABYTE,GIGABYTE AORUS GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 ATX Video Card GV-N3060AORUS E-12GD (rev. 2.0),$843.69 (4 Offers)–,$843.69 (4 Offers)–,$49.99 Shipping
ASUS,ASUS TUF Gaming GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 x16 Video Card TUF-RTX3070-O8G-V2-GAMING LHR,$1199.99 (2 Offers)–,$1199.99 (2 Offers)–,Free Shipping
MSI,MSI GeForce RTX 3060 AERO ITX 12G OC LHR,$899.99 –,$899.99 –,Special Shipping
GIGABYTE,GIGABYTE GeForce RTX 3070 VISION OC 8GB Video Card| GV-N3070VISION OC-8GD,$1197.87 (4 Offers)–,$1197.87 (4 Offers)–,$49.99 Shipping
GIGABYTE,GIGABYTE Eagle GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N306TEAGLE-8GD (rev. 2.0) (LHR),$1068.58 (2 Offers)–,$1068.58 (2 Offers)–,Free Shipping
MSI,MSI Ventus GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card RTX 3070 Ti Ventus 3X 8G OC,$1188.52 –,$1188.52 –,Free Shipping
ASUS,ASUS Dual GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card DUAL-RTX3060TI-O8G-V2 LHR,$838.52 (4 Offers)–,$838.52 (4 Offers)–,$45.00 Shipping
